year,name,species,Plot, d30 , Height (m) , Height (cm) , Crown Dia (m) , Crown Dia (cm) , Crown Circum. (cm)  , LOG AGB AVI , Aboveground biomass (Kg) , Aboveground biomass (t/ha) , Belowground biomass (Kg) , Belowground biomass (t/ha) , Total biomass per ha (t/ha) , AGC (Kg) , BGC (Kg) , Total C (Kg) , Total C (t/ha) ," Btree l,j,p,i "
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 3.10 , 1.22 , 122.00 , 1.50 , 150 , 470 , 0.57 , 3.75 , 0.15 , 3.46 , 0.14 , 0.29 , 1.80 , 1.35 , 3.15 , 0.13 , 7.22 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.90 , 1.12 , 112.00 , 1.02 , 102 , 321 , 0.22 , 1.66 , 0.07 , 1.54 , 0.06 , 0.13 , 0.80 , 0.60 , 1.40 , 0.06 , 3.20 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 3.40 , 1.30 , 130.00 , 2.12 , 212 , 667 , 0.90 , 7.94 , 0.32 , 7.33 , 0.29 , 0.61 , 3.81 , 2.86 , 6.67 , 0.27 , 15.26 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.30 , 1.22 , 122.00 , 0.94 , 94 , 294 , 0.14 , 1.37 , 0.05 , 1.27 , 0.05 , 0.11 , 0.66 , 0.49 , 1.15 , 0.05 , 2.64 
